year,Climate_Count,Environment_Count,Forest(sq_mi),Endangered_Species
2022,2,2,4466,7
2021,2,2,5034,10
2020,1,4,4190,4
2019,2,4,3911,4
2018,1,1,2910,5
2017,0,2,2682,9
2016,0,3,3047,73
2015,1,1,2397,27
2014,0,0,1935,36
2013,1,2,2275,83
2012,0,1,1765,44
2011,0,2,2478,11
2010,1,1,2703,54
2009,1,7,2882,6
2008,0,2,4985,2
2007,0,3,4498,0
2006,1,2,5516,12
2005,1,3,7341,7
2004,2,2,10723,8
2003,0,1,9805,2
2002,0,3,8359,11
2001,0,5,7014,10
2000,0,4,7037,40
1999,0,2,6664,23
1998,1,7,6712,56
1997,0,7,5107,78
1996,0,1,7012,91
1995,0,5,11220,18
1994,0,3,5751,128
1993,0,7,5751,67
1992,0,10,5323,79
1991,0,2,4259,80
1990,1,6,5301,38
1989,0,1,6861,32
1988,1,7,8127,47
1987,0,0,.,60
1986,0,0,.,36
1985,1,3,.,59
1984,1,4,.,32
1983,0,1,.,7
1982,0,0,.,11
1981,0,2,.,4
1980,0,0,.,16